"fs_orleans" "g_faust" "g_iphigenia"
"sehr" 0.0193535900909619 0.0775218837817759 0.0327933363940447
"sonst" 0.030965744145539 0.0742918052908686 0.0196760018364268
"frei" 0.0464486162183085 0.0549113343454246 0.0262346691152358
"kraft" 0.0270950261273466 0.0646015698181466 0.0393520036728537
"läßt" 0.0348364621637314 0.0710617267999612 0.0131173345576179
"schöne" 0.0232243081091542 0.0581414128363319 0.0590280055092805
"schönen" 0.0232243081091542 0.0581414128363319 0.0590280055092805
"soldaten" 0.119992258563964 0.00646015698181466 0
"wär" 0.0193535900909619 0.0775218837817759 0.0262346691152358
"weit" 0.0348364621637314 0.0613714913272392 0.0327933363940447
"andern" 0.0270950261273466 0.0613714913272392 0.0393520036728537
"bruder" 0 0.0226105494363513 0.163966681970224
"einmal" 0.00774143603638475 0.0775218837817759 0.0393520036728537
"frankreich" 0.123862976582156 0 0
"jeder" 0.0270950261273466 0.0581414128363319 0.0459106709516626
"mädchen" 0.0735436423456551 0.0419910203817953 0
"armen" 0.0348364621637314 0.0323007849090733 0.0787040073457074
"eh" 0.0696729243274627 0.0258406279272586 0.0327933363940447
"erzbischof" 0.119992258563964 0 0
"ewig" 0.0348364621637314 0.0549113343454246 0.0327933363940447
"fahne" 0.119992258563964 0 0
"fest" 0.0503193342365009 0.029070706418166 0.0590280055092805
"frosch" 0 0.100132433218127 0
"gewiß" 0.0232243081091542 0.0678316483090539 0.0262346691152358
"schnell" 0.0658022063092704 0.0161503924545366 0.0590280055092805
"zeichen" 0.0580607702728856 0.029070706418166 0.0459106709516626
"bringt" 0.0464486162183085 0.0258406279272586 0.0655866727880895
"habe" 0.0348364621637314 0.0419910203817953 0.0524693382304716
"lust" 0.0193535900909619 0.0484511773636099 0.0655866727880895
"stadt" 0.0696729243274627 0.019380470945444 0.0393520036728537
"feind" 0.0967679504548094 0.00323007849090733 0.0196760018364268
"gibt" 0.0348364621637314 0.0549113343454246 0.0196760018364268
"königs" 0.0774143603638475 0 0.0590280055092805
"natur" 0.0348364621637314 0.0613714913272392 0.00655866727880895
"orleans" 0.112250822527579 0 0
"sonne" 0.0541900522546932 0.019380470945444 0.0590280055092805
"waffen" 0.0967679504548094 0 0.0262346691152358
"wirst" 0.0541900522546932 0.029070706418166 0.0393520036728537
"drum" 0.0270950261273466 0.0549113343454246 0.0262346691152358
"ende" 0.0232243081091542 0.0516812558545173 0.0393520036728537
"erster" 0.0658022063092704 0.0129203139636293 0.0459106709516626
"führt" 0.0735436423456551 0.0129203139636293 0.0327933363940447
"gehen" 0.0503193342365009 0.0387609418908879 0.0196760018364268
"genug" 0.0193535900909619 0.0516812558545173 0.0459106709516626
"guten" 0.030965744145539 0.0387609418908879 0.0524693382304716
"herzog" 0.108380104509386 0 0
"hölle" 0.0580607702728856 0.0387609418908879 0.00655866727880895
"hören" 0.0270950261273466 0.0581414128363319 0.0196760018364268
"keinen" 0.0425778982001161 0.0484511773636099 0.0131173345576179
"schicksal" 0.0541900522546932 0.00969023547272199 0.0721453400668984
"seht" 0.0425778982001161 0.0516812558545173 0.00655866727880895
"augenblick" 0.061931488291078 0.0226105494363513 0.0262346691152358
"ersten" 0.0270950261273466 0.0355308633999806 0.0590280055092805
"faßt" 0.0425778982001161 0.0484511773636099 0.00655866727880895
"gegen" 0.0503193342365009 0.00646015698181466 0.0787040073457074
"ihrem" 0.0503193342365009 0.0323007849090733 0.0262346691152358
"licht" 0.0270950261273466 0.0355308633999806 0.0590280055092805
"oft" 0.0154828720727695 0.0452210988727026 0.0590280055092805
"scheint" 0.00774143603638475 0.0419910203817953 0.0787040073457074
"sinn" 0.0116121540545771 0.0452210988727026 0.0655866727880895
"worte" 0.0387071801819237 0.0258406279272586 0.0590280055092805
"zweiter" 0.0658022063092704 0.00646015698181466 0.0524693382304716
"deines" 0.061931488291078 0.00969023547272199 0.0459106709516626
"euer" 0.0735436423456551 0.0161503924545366 0.0131173345576179
"fluch" 0.0154828720727695 0.0226105494363513 0.0983800091821342
"geschick" 0.0387071801819237 0.00323007849090733 0.0983800091821342
"göttin" 0.00387071801819237 0.00323007849090733 0.157408014691415
"hält" 0.0387071801819237 0.0387609418908879 0.0262346691152358
"heer" 0.0735436423456551 0.00323007849090733 0.0393520036728537
"ihrer" 0.0387071801819237 0.0226105494363513 0.0590280055092805
"ists" 0.100638668473002 0 0
"los" 0.030965744145539 0.0355308633999806 0.0459106709516626
"sag" 0.0232243081091542 0.0419910203817953 0.0459106709516626
"sage" 0.0348364621637314 0.0226105494363513 0.0655866727880895
"siehst" 0.0387071801819237 0.0419910203817953 0.0196760018364268
"soldat" 0.0890265144184246 0.00969023547272199 0
"tage" 0.0232243081091542 0.0419910203817953 0.0459106709516626
"tragen" 0.0580607702728856 0.0258406279272586 0.0196760018364268
"ward" 0.030965744145539 0.0355308633999806 0.0459106709516626
"agnes" 0.0967679504548094 0 0
"ge" 0.00387071801819237 0.019380470945444 0.118056011018561
"geben" 0.0270950261273466 0.0419910203817953 0.0327933363940447
"gottes" 0.0812850783820399 0.0129203139636293 0
"großen" 0.0154828720727695 0.0387609418908879 0.0590280055092805
"lager" 0.0774143603638475 0.00646015698181466 0.0196760018364268
"nieder" 0.0387071801819237 0.0452210988727026 0.00655866727880895
"ob" 0.0387071801819237 0.0355308633999806 0.0262346691152358
"oben" 0.0464486162183085 0.0387609418908879 0.00655866727880895
"schwer" 0.030965744145539 0.0419910203817953 0.0262346691152358
"stehen" 0.0735436423456551 0.019380470945444 0
"unsern" 0.0658022063092704 0.00969023547272199 0.0327933363940447
"vaters" 0.0580607702728856 0.00323007849090733 0.0590280055092805
"vergebens" 0.0154828720727695 0.0258406279272586 0.0852626746245163
"welch" 0.0154828720727695 0.0387609418908879 0.0590280055092805
"wollen" 0.0387071801819237 0.0419910203817953 0.0131173345576179
"davon" 0.0154828720727695 0.0646015698181466 0
"dritter" 0.0658022063092704 0.00646015698181466 0.0327933363940447
"entgegen" 0.0503193342365009 0.0129203139636293 0.0459106709516626
"fünfter" 0.0774143603638475 0.00323007849090733 0.0196760018364268
"getan" 0.0270950261273466 0.0549113343454246 0
"groß" 0.0154828720727695 0.0484511773636099 0.0327933363940447
"herein" 0.0348364621637314 0.0484511773636099 0
"kannst" 0.0154828720727695 0.0419910203817953 0.0459106709516626
"könnt" 0.030965744145539 0.0452210988727026 0.0131173345576179
"lebt" 0.0348364621637314 0.0355308633999806 0.0262346691152358
"leicht" 0.00774143603638475 0.0387609418908879 0.0655866727880895
"margot" 0.092897232436617 0 0
"sah" 0.0464486162183085 0.0323007849090733 0.0131173345576179
"schön" 0.0154828720727695 0.0516812558545173 0.0262346691152358
"tut" 0.0348364621637314 0.0484511773636099 0
"vierter" 0.0735436423456551 0.00323007849090733 0.0262346691152358
"wunder" 0.0580607702728856 0.0226105494363513 0.0131173345576179
"alte" 0.0116121540545771 0.0419910203817953 0.0459106709516626
"andre" 0.0232243081091542 0.0387609418908879 0.0327933363940447
"feinde" 0.0735436423456551 0.00323007849090733 0.0196760018364268
"füßen" 0.0387071801819237 0.0387609418908879 0.00655866727880895
"ganze" 0.0270950261273466 0.0484511773636099 0.00655866727880895
"heut" 0.030965744145539 0.0419910203817953 0.0131173345576179
"jedem" 0.0116121540545771 0.0484511773636099 0.0327933363940447
"lebens" 0.0270950261273466 0.029070706418166 0.0459106709516626
"machen" 0.0232243081091542 0.0516812558545173 0.00655866727880895
"not" 0.0464486162183085 0.0355308633999806 0
"schüler" 0 0.0742918052908686 0
"wollt" 0.0425778982001161 0.0387609418908879 0
"eben" 0.0154828720727695 0.0581414128363319 0
"geschehn" 0.0116121540545771 0.0581414128363319 0.00655866727880895
"gewalt" 0.0193535900909619 0.0258406279272586 0.0590280055092805
"große" 0.0387071801819237 0.0258406279272586 0.0262346691152358
"heilig" 0.0503193342365009 0.0129203139636293 0.0327933363940447
"hexe" 0.00774143603638475 0.0646015698181466 0
"hinter" 0.0387071801819237 0.029070706418166 0.0196760018364268
"hört" 0.030965744145539 0.0355308633999806 0.0196760018364268
